Rank,Name,Symbol,Price,Change_1h,Change_24h,Change_7d,Change_30d,Volume_24h,Circulating_Supply,Total_Supply,Market_Cap
73,Rocket Pool ETH RETH,,"$4,417.96",0.4%,0.9%,4.1%,7.8%,"$10,004,337","389,866",389866.12,"$1,723,487,324"
74,Arbitrum ARB,,$0.3087,0.9%,0.4%,6.1%,28.8%,"$169,664,808","5,509,691,911",10B,"$1,701,462,340"
75,Story IP,,$5.20,0.5%,3.5%,14.9%,59.7%,"$40,090,455","321,885,644",1.02B,"$1,676,118,107"
76,Pi Network PI,,$0.2017,0.4%,0.0%,3.5%,26.8%,"$20,106,477","8,284,604,887",12.75B,"$1,671,541,075"
77,Binance Staked SOL BNSOL,,$202.70,0.2%,1.6%,3.0%,13.8%,"$4,674,707","8,121,167",8.12M,"$1,647,310,719"
78,Internet Computer ICP,,$3.00,0.7%,0.4%,11.3%,30.8%,"$52,571,136","539,301,969",539.3M,"$1,619,787,203"
79,Algorand ALGO,,$0.1813,0.8%,0.1%,7.8%,16.0%,"$83,268,281","8,812,446,874",8.81B,"$1,597,340,492"
80,Kelp DAO Restaked ETH RSETH,,"$4,083.47",0.4%,1.0%,4.6%,7.7%,"$2,329,180","375,429",375428.71,"$1,534,365,350"
81,Cosmos Hub ATOM,,$3.16,0.3%,0.0%,6.0%,24.4%,"$72,609,419","474,523,588",474.52M,"$1,500,177,848"
82,VeChain VET,,$0.01707,1.0%,0.3%,7.6%,25.6%,"$25,480,882","85,985,041,177",85.99B,"$1,469,469,809"
84,Kinetiq Staked HYPE KHYPE,,$39.09,1.4%,8.3%,1.4%,19.5%,"$38,601,582","37,475,944",37.48M,"$1,465,000,108"
83,StakeWise Staked ETH OSETH,,"$4,081.46",0.4%,1.1%,4.1%,7.7%,"$6,431,599","358,881",358880.68,"$1,465,192,550"
85,Wrapped BNB WBNB,,"$1,094.60",0.7%,2.3%,7.5%,10.2%,"$1,077,946,157","1,277,081",1.28M,"$1,398,048,451"
86,Sky SKY,,$0.05947,0.3%,2.2%,1.3%,10.1%,"$13,713,430","23,355,681,164",23.46B,"$1,389,256,403"
87,Liquid Staked ETH LSETH,,"$4,121.38",0.1%,1.3%,5.1%,8.8%,"$236,156","333,264",333263.88,"$1,372,822,802"
88,Kaspa KAS,,$0.05119,0.8%,1.0%,12.0%,35.0%,"$56,602,100","26,777,148,611",26.84B,"$1,371,182,352"
89,PAX Gold PAXG,,"$4,120.88",0.3%,2.2%,3.2%,8.7%,"$500,104,250","330,979",330979.15,"$1,364,029,352"
90,Lombard Staked BTC LBTC,,"$109,485",0.1%,1.8%,1.5%,3.4%,"$10,289,677","12,227",12226.66,"$1,338,709,751"
91,BFUSD BFUSD,,$1,0.0%,0.0%,0.0%,0.0%,"$15,124,150","1,320,000,000",1.32B,"$1,319,494,627"
92,Pump.fun PUMP,,$0.003713,1.4%,1.3%,2.7%,35.6%,"$271,366,807","354,000,000,000",999.99B,"$1,315,652,598"
93,Flare FLR,,$0.01719,0.5%,0.8%,8.7%,27.5%,"$7,030,602","76,360,194,338",104.19B,"$1,312,294,606"
94,Syrup USDC SYRUPUSDC,,$1.13,0.0%,0.0%,0.1%,0.5%,"$8,940,492","1,158,004,918",1.16B,"$1,311,146,782"
95,Pudgy Penguins PENGU,,$0.02038,1.6%,2.9%,13.2%,32.3%,"$248,267,477","62,860,396,090",79.77B,"$1,280,640,646"
96,Render RENDER,,$2.42,0.8%,1.3%,11.2%,33.6%,"$60,715,744","518,584,616",533.34M,"$1,254,100,169"
97,Renzo Restaked ETH EZETH,,"$4,106.41",0.4%,1.1%,4.5%,7.6%,"$1,586,744","296,818",296817.55,"$1,219,349,935"
98,Quant QNT,,$81.15,0.7%,0.5%,8.3%,12.2%,"$14,505,417","14,544,176",14.61M,"$1,180,230,031"
99,Sei SEI,,$0.1884,0.7%,0.4%,13.2%,36.2%,"$100,068,696","6,248,888,888",10B,"$1,178,203,160"
100,Official Trump TRUMP,,$5.78,0.4%,0.5%,5.1%,25.0%,"$278,622,300","199,999,973",1B,"$1,155,383,053"
101,NEXO NEXO,,$1.14,0.3%,0.6%,3.8%,8.3%,"$9,916,996","1,000,000,000",1B,"$1,144,936,681"
102,Binance Bridged USDC (BNB Smart Chain) USDC,,$1.00,0.1%,0.0%,0.1%,0.1%,"$485,923,239","1,138,999,880",1.14B,"$1,138,772,382"
103,Solv Protocol BTC SOLVBTC,,"$109,009",0.2%,0.9%,1.9%,3.8%,"$231,643","10,410",10409.98,"$1,130,473,984"
104,Jupiter JUP,,$0.3561,1.1%,1.0%,2.4%,25.0%,"$34,087,322","3,165,216,667",7B,"$1,127,704,420"
105,XDC Network XDC,,$0.06226,0.2%,0.0%,2.4%,20.0%,"$39,310,241","17,752,439,814",38.03B,"$1,105,408,220"
106,Bonk BONK,,$0.00001412,0.6%,1.4%,8.0%,32.3%,"$180,657,589","77,419,592,329,437",88T,"$1,093,539,144"
107,Filecoin FIL,,$1.55,0.5%,1.5%,2.9%,31.7%,"$88,059,486","700,421,251",1.96B,"$1,083,313,797"
108,First Digital USD FDUSD,,$0.9978,0.1%,0.0%,0.0%,0.1%,"$6,229,675,864","1,002,781,131",1B,"$1,000,588,366"
110,Morpho MORPHO,,$1.88,0.2%,3.5%,3.7%,4.0%,"$25,969,445","522,958,431",1B,"$981,390,176"
109,Immutable IMX,,$0.5052,1.0%,3.8%,8.0%,26.0%,"$32,663,888","1,939,938,090",2B,"$980,956,139"
111,Mantle Staked Ether METH,,"$4,163.60",0.7%,0.9%,4.1%,7.9%,"$1,808,866","231,002",231001.87,"$960,868,928"
112,Global Dollar USDG,,$1.00,0.0%,0.0%,0.0%,0.0%,"$22,607,511","957,551,283",957.55M,"$957,736,155"
113,Jupiter Staked SOL JUPSOL,,$215.60,0.6%,1.2%,2.8%,13.8%,"$7,002,647","4,325,319",4.33M,"$933,087,960"
114,PancakeSwap CAKE,,$2.70,2.1%,0.7%,12.2%,0.4%,"$205,576,881","342,134,776",356.84M,"$924,540,437"
115,Ripple USD RLUSD,,$0.9999,0.0%,0.0%,0.0%,0.0%,"$96,161,958","898,497,012",898.5M,"$898,545,134"
116,Arbitrum Bridged WBTC (Arbitrum One) WBTC,,"$109,136",0.4%,1.5%,2.0%,3.4%,"$185,128,656","8,098",8098.34,"$883,647,350"
117,SPX6900 SPX,,$0.9429,1.3%,2.3%,19.3%,12.4%,"$40,870,997","930,993,082",930.99M,"$877,955,427"
118,Fasttoken FTN,,$2.01,0.0%,0.5%,0.1%,55.0%,"$21,584,042","433,517,468",870.74M,"$873,212,782"
119,clBTC CLBTC,,"$109,281",-,1.5%,3.6%,2.8%,$9.31,"7,723",7723.22,"$844,000,116"
120,Injective INJ,,$8.33,0.8%,0.1%,8.7%,33.0%,"$78,114,636","97,727,220",100M,"$813,991,156"
121,Celestia TIA,,$0.9837,0.6%,1.2%,8.6%,34.2%,"$77,932,796","824,643,650",1.15B,"$811,164,225"
122,DoubleZero 2Z,,$0.2311,0.4%,2.8%,10.1%,-,"$36,709,240","3,471,417,500",10B,"$803,285,861"
123,Lido DAO LDO,,$0.8923,1.1%,0.3%,3.2%,21.2%,"$113,065,052","895,768,803",1B,"$799,811,476"
124,Marinade Staked SOL MSOL,,$250.90,0.4%,1.4%,3.1%,13.3%,"$15,577,787","3,138,229",3.14M,"$787,921,325"
125,OUSG OUSG,,$112.95,0.0%,0.0%,0.1%,0.3%,$0.00,"6,965,746",6.97M,"$786,785,489"
126,Circle USYC USYC,,$1.11,-,-,-,-,$1.11,"709,553,254",709.55M,"$790,960,032"
127,Stacks STX,,$0.4252,0.6%,0.4%,7.3%,29.7%,"$18,337,013","1,806,421,396",1.81B,"$768,107,304"
128,Optimism OP,,$0.4286,0.6%,0.8%,6.2%,39.1%,"$123,017,159","1,778,634,390",4.29B,"$762,589,288"
129,cgETH Hashkey Cloud CGETH.HASHKEY,,"$3,721.00",0.0%,1.8%,3.8%,7.5%,$47.97,"199,929",199929.02,"$743,164,949"
130,Superstate Short Duration U.S. Government Securities Fund (USTB) USTB,,$10.87,0.0%,0.0%,0.1%,0.3%,$0.00,"68,255,345",68.26M,"$741,158,365"
131,Curve DAO CRV,,$0.5184,0.9%,1.4%,8.0%,24.7%,"$152,019,030","1,417,538,425",2.32B,"$734,980,785"
132,Aerodrome Finance AERO,,$0.7841,0.4%,1.4%,6.0%,30.3%,"$42,039,675","906,149,029",1.77B,"$710,755,452"
133,FLOKI FLOKI,,$0.00007256,1.0%,1.1%,0.4%,15.9%,"$109,031,761","9,658,676,145,352",10T,"$700,733,307"
134,L2 Standard Bridged WETH (Base) WETH,,"$3,868.74",0.3%,1.1%,4.5%,7.8%,"$1,107,050,062","180,625",180624.98,"$698,800,224"
135,Ondo US Dollar Yield USDY,,$1.10,1.0%,0.1%,1.3%,1.5%,"$2,555,028","624,075,803",624.53M,"$689,741,393"
136,Stables Labs USDX USDX,,$0.9984,0.0%,0.0%,0.4%,0.2%,"$52,481.55","683,708,220",683.71M,"$682,606,092"
137,Ether.Fi Liquid ETH LIQUIDETH,,"$4,079.32",0.7%,0.6%,-,-,$379.26,"164,965",164964.66,"$676,160,765"
138,The Graph GRT,,$0.06195,0.8%,0.6%,7.5%,26.8%,"$28,705,869","10,557,636,370",10.8B,"$653,915,221"
139,Artificial Superintelligence Alliance FET,,$0.2465,0.9%,2.2%,16.2%,58.9%,"$143,341,480","2,604,959,127",2.71B,"$642,980,437"
140,tBTC TBTC,,"$109,060",0.1%,1.8%,1.8%,3.2%,"$31,638,188","5,880",5879.88,"$641,338,417"
141,Plasma XPL,,$0.3537,1.0%,6.2%,24.6%,-,"$296,230,573","1,800,000,000",10B,"$636,859,610"
142,Pyth Network PYTH,,$0.1104,0.8%,0.0%,8.7%,27.8%,"$34,923,536","5,749,983,058",10B,"$634,870,496"
143,Arbitrum Bridged WETH (Arbitrum One) WETH,,"$3,866.57",0.4%,1.0%,4.2%,7.9%,"$517,380,120","163,705",163704.85,"$633,149,267"
144,Kaia KAIA,,$0.1072,0.6%,1.6%,3.6%,29.0%,"$28,612,854","5,856,641,747",5.86B,"$627,706,837"
145,Tezos XTZ,,$0.5904,0.7%,1.0%,4.3%,15.7%,"$16,650,838","1,062,825,881",1.08B,"$627,550,171"
146,Sonic S,,$0.1629,0.5%,1.3%,13.9%,35.3%,"$73,197,713","3,784,775,845",3.89B,"$616,489,411"
147,GTETH GTETH,,"$3,872.11",0.4%,1.2%,4.1%,7.8%,"$175,760","153,820",153820,"$595,608,090"
148,Stader ETHx ETHX,,"$4,144.25",0.3%,1.0%,4.0%,7.7%,"$189,855","143,457",143456.86,"$594,522,364"
149,Beldex BDX,,$0.07869,0.0%,0.3%,0.5%,9.5%,"$11,482,458","7,477,040,237",9.94B,"$588,230,646"
150,USDai USDAI,,$1.02,0.1%,0.1%,1.4%,1.3%,"$3,316,992","578,430,005",578.43M,"$587,108,740"
151,IOTA IOTA,,$0.1418,0.7%,0.3%,4.4%,17.8%,"$11,203,283","4,100,247,683",4.73B,"$581,412,686"
152,AB AB,,$0.006912,0.1%,0.3%,6.0%,17.3%,"$16,008,156","83,324,047,604",98.82B,"$575,966,007"
154,Conflux CFX,,$0.1077,0.6%,0.9%,5.5%,26.7%,"$20,642,227","5,147,361,750",5.72B,"$554,580,890"
153,Ether.fi ETHFI,,$0.9833,0.4%,3.0%,16.7%,34.3%,"$72,126,467","563,915,015",998.54M,"$554,593,008"
155,Theta Network THETA,,$0.5528,0.7%,0.7%,4.3%,26.3%,"$24,324,125","1,000,000,000",1B,"$552,688,548"
156,Usual USD USD0,,$0.9983,0.0%,0.1%,0.1%,0.0%,"$2,771,005","552,410,845",552.41M,"$551,051,952"
157,Polygon PoS Bridged DAI (Polygon POS) DAI,,$1.00,0.0%,0.0%,0.0%,0.0%,"$59,432,054","539,645,838",539.65M,"$539,740,604"
158,Pendle PENDLE,,$3.16,2.0%,0.8%,5.3%,35.2%,"$53,679,090","168,722,230",281.53M,"$533,802,291"
159,Saros SAROS,,$0.2011,1.6%,9.5%,21.4%,50.2%,"$7,323,366","2,624,999,826",10B,"$528,702,131"
160,Polygon Bridged USDC (Polygon PoS) USDC.E,,$1.00,0.0%,0.0%,0.0%,0.0%,"$37,897,386","523,733,190",523.73M,"$523,726,051"
161,Coinbase Wrapped Staked ETH CBETH,,"$4,257.23",0.4%,1.1%,4.7%,7.8%,"$7,518,338","122,916",373334.08,"$523,366,278"
162,Dash DASH,,$41.72,1.0%,5.8%,13.1%,98.0%,"$84,492,536","12,460,467",12.46M,"$520,432,234"
