Rank,Name,Symbol,Price,Change_1h,Change_24h,Change_7d,Change_30d,Volume_24h,Circulating_Supply,Total_Supply,Market_Cap,Cluster,PC1,PC2
440,VerusVRSC,,1.53,1.1%,4.7,0.7,12.0%,"$2,253.62","79,455,512",79.46M,121428460.0,0,-0.0006432924317911197,-0.24863305199375202
439,UnibaseUB,,0.04852,2.8%,16.6,44.8,41.1%,"$55,819,278","2,500,000,000",10B,121363657.0,4,2.1381414822252043,0.018057424773120823
441,MinidogeMINIDOGE,,0.061734,2.1%,1.1,17.5,15.7%,"$3,353,151","699,999,999,999,900",1000T,120923131.0,0,0.023652707715743855,-0.25922876243863785
442,Ozone ChainOZO,,0.1341,0.5%,1.1,1.4,1.0%,"$231,552","896,361,068",1B,120295028.0,0,-0.3348876229393104,-0.2971054225141593
443,Gems VIPGEMS,,0.1936,2.3%,4.6,14.7,5.7%,"$3,051,161","612,237,364",838.06M,118970514.0,0,0.3015633023515207,-0.21845685984218
444,Unit PumpUPUMP,,0.00371,1.4%,1.1,3.1,35.2%,"$4,046,002","31,901,834,623",1T,118825540.0,0,-0.29695468953794957,-0.29379218002725355
445,Avant USDAVUSD,,1.0,0.0%,0.0,0.1,0.0%,"$547,976","118,841,305",118.84M,118732848.0,0,-0.47068296554245304,-0.31593941492583
447,Renzo Restaked LSTPZETH,,4705.67,0.4%,0.8,2.9,6.8%,$658.51,"25,154",25153.88,118416782.0,0,-0.35673832488655777,-0.10943712905377016
448,World Mobile TokenWMTX,,0.1522,0.4%,0.3,6.1,30.3%,"$8,179,486","775,829,138",2B,118091808.0,0,-0.30786068545682527,-0.2981160176943736
446,SQDSQD,,0.1373,1.9%,7.3,21.7,92.5%,"$8,854,776","858,066,066",1.34B,117917445.0,0,0.7199369143080643,-0.16541671512424133
451,Open CampusEDU,,0.1975,1.7%,7.1,14.8,36.6%,"$33,264,681","593,195,257",1B,117629660.0,0,0.546838800934581,-0.1844093315916838
450,Stargate Bridged USDCUSDC.E,,0.9995,0.0%,0.1,0.1,0.0%,"$16,278,610","117,684,264",117.68M,117630927.0,0,-0.4609105491490964,-0.31505185957289406
452,CoW ProtocolCOW,,0.2226,0.6%,0.5,9.5,22.3%,"$9,570,374","527,462,124",1B,117439716.0,0,-0.21266807836964877,-0.2877091668249073
449,Moonwell Flagship ETH (Morpho Vault)MWETH,,3908.47,0.3%,2.7,4.0,5.9%,$17.69,"30,040",30040,117411858.0,0,-0.14308657019391144,-0.11320480554445424
453,Rollbit CoinRLB,,0.0622,0.3%,0.5,4.9,9.0%,"$244,575","1,880,366,305",1.88B,116942288.0,0,-0.3150918536722267,-0.29867938620510165
454,HoloHOT,,0.0006575,0.9%,0.5,4.6,25.2%,"$6,293,834","177,619,433,541",177.62B,116790342.0,0,-0.32176562622100213,-0.2994498959872091
455,PayFi Strategy Token USDCPSTUSDC,,1.05,0.0%,0.0,0.2,0.7%,"$224,622","110,410,131",110.41M,116391139.0,0,-0.4683433386947526,-0.3167425461219614
456,Wrapped Savings rUSDWSRUSD,,1.04,0.0%,0.0,0.0,2.3%,"$22,897.11","111,461,820",111.46M,116371053.0,0,-0.4727966036929122,-0.3172189501478224
457,CentrifugeCFG,,0.2048,0.4%,0.3,10.6,20.6%,"$1,889,499","566,752,004",680M,116131481.0,0,-0.20754510487544883,-0.288473837954089
458,Gaib AI Dollar Alpha USDCAIDAUSDC,,1.0,0.2%,0.0,0.6,-,"$597,181","114,772,921",114.77M,115373492.0,0,-0.4593854815279267,-0.31626175718040994
459,VeThorVTHO,,0.00121,0.4%,0.3,3.8,27.8%,"$1,367,651","95,393,358,260",95.39B,115388807.0,0,-0.3589539968842073,-0.3046925948531192
461,deBridgeDBR,,0.03251,0.8%,6.7,5.9,34.1%,"$17,675,469","3,514,363,650",10B,114265887.0,0,0.3099084767259631,-0.21219899615787283
460,Anzen USDzUSDZ,,0.9887,0.1%,0.0,0.1,0.2%,"$63,238.14","115,494,560",115.49M,114190457.0,0,-0.4704641711616411,-0.3179546896470181
462,SiacoinSC,,0.002008,0.3%,0.9,7.5,26.7%,"$5,926,016","56,025,636,522",61.78B,112495533.0,0,-0.21809424056120877,-0.2890766280375093
463,Avant Staked USDSAVUSD,,1.1,0.0%,0.2,0.4,1.4%,"$322,944","100,952,752",100.95M,111410962.0,0,-0.44421081198190104,-0.3157297625153904
464,aelfELF,,0.1397,0.4%,1.0,7.0,24.1%,"$1,834,515","797,584,867",996.45M,111336088.0,0,-0.21945554301032144,-0.28937676563132664
465,DOLADOLA,,0.9962,0.0%,0.0,0.0,0.1%,"$4,175,519","111,713,132",194.18M,111254120.0,0,-0.47254996228225793,-0.3194903746703815
466,USDAUSDA,,0.994,0.4%,1.3,0.4,1.9%,"$39,679,842","111,000,000",111M,110653353.0,0,-0.33726086429863017,-0.3009302951797665
467,SKALESKL,,0.0183,1.1%,1.6,11.9,25.6%,"$6,174,571","6,029,852,671",6.08B,110394623.0,0,-0.05196336556443321,-0.2700974103001393
468,DigiByteDGB,,0.006143,0.9%,0.2,11.3,19.5%,"$2,451,065","17,961,719,133",17.96B,110345390.0,0,-0.20139472419481522,-0.29078981619980093
470,IoTeXIOTX,,0.01164,1.7%,2.9,14.9,51.6%,"$11,313,907","9,441,368,979",9.44B,109934136.0,0,0.14122474453608144,-0.24540308159583263
471,Giggle FundGIGGLE,,109.4,1.4%,9.1,5.9,272.4%,"$20,820,889","1,000,000",1M,109401423.0,0,0.5427984527661736,-0.1769286919912842
469,Paparazzi TokenPAPARAZZI,,0.03396,4.6%,1.7,163.8,760.7%,"$744,784","3,277,777,776",10B,108866799.0,0,3.3408611032916005,0.08535883654853543
472,Moo DengMOODENG,,0.1093,0.4%,0.7,8.0,26.7%,"$17,438,827","989,971,791",989.97M,108221975.0,0,-0.22619203657504655,-0.292552846802094
473,sBTCSBTC,,108763.0,0.1%,0.8,2.8,3.9%,"$63,168.32","1,000",1000,107887752.0,1,-0.9376246388159061,4.067983059581359
474,GMXGMX,,10.33,0.6%,1.8,6.0,30.0%,"$9,802,441","10,340,479",10.34M,106879674.0,0,-0.16381428938138695,-0.28226859692899814
475,Casper NetworkCSPR,,0.007887,0.5%,1.6,4.2,16.2%,"$1,456,690","13,524,160,729",14B,106669682.0,0,-0.22327402191840418,-0.2897331331480851
477,Wrapped Aave Ethereum USDTWAETHUSDT,,1.14,0.0%,0.0,0.1,0.3%,"$7,867,345","93,127,403",93.13M,106496609.0,0,-0.47009452847471506,-0.32136128766576644
476,peaqPEAQ,,0.07645,1.9%,4.1,9.4,33.0%,"$3,776,890","1,389,118,788",4.33B,106233577.0,0,0.1355418906036803,-0.24337083042611482
478,ORDIORDI,,5.05,0.6%,0.9,6.7,40.8%,"$32,620,830","21,000,000",21M,106123357.0,0,-0.23563264650320484,-0.29356854670400795
479,LCXLCX,,0.1116,0.7%,1.3,0.2,26.7%,"$692,993","940,989,527",950M,105070501.0,0,-0.3414414076667266,-0.3039091806810286
480,f(x) USD SavingFXSAVE,,1.06,0.1%,0.4,0.5,1.1%,"$701,702","98,159,895",98.16M,104146406.0,0,-0.4221949277028314,-0.3159674005555449
481,Onchain Yield CoinONYC,,1.04,0.1%,0.2,0.2,1.1%,"$718,303","99,999,998",100M,103969664.0,0,-0.4483064422353922,-0.31949992503001473
482,EthereumPoWETHW,,0.9625,0.8%,0.2,6.5,30.7%,"$7,515,510","107,818,717",107.82M,103820326.0,0,-0.3079887519946286,-0.30485585812378724
484,PolymeshPOLYX,,0.08515,0.7%,0.4,6.9,32.2%,"$4,298,535","1,211,577,936",1.21B,103177542.0,0,-0.27960563607705924,-0.30148936252283104
485,IlluviumILV,,10.85,1.2%,0.9,8.0,19.3%,"$6,823,102","9,482,628",9.6M,102911553.0,0,-0.2065573980118928,-0.29172395332410284
486,f(x) Protocol fxUSDFXUSD,,0.9995,0.0%,0.0,0.0,0.0%,"$2,367,331","102,916,213",102.92M,102862878.0,0,-0.47214591397204386,-0.32321225689202143
487,NumeraireNMR,,12.68,0.7%,1.1,8.9,28.5%,"$7,543,996","8,007,701",10.66M,101579266.0,0,-0.1670204291997839,-0.28738674623683363
488,HashKey Platform TokenHSK,,0.3141,1.2%,0.1,12.2,17.1%,"$1,558,143","322,460,009",1B,101297408.0,0,-0.19063580429816288,-0.29406518224238626
489,SushiSUSHI,,0.5246,1.1%,1.0,7.0,22.9%,"$26,873,325","192,789,256",286.13M,101168761.0,0,-0.21896809412503457,-0.2938711097177342
490,Savings xDAISDAI,,1.21,0.0%,0.5,0.4,1.0%,"$8,627,333","83,679,594",83.68M,101002315.0,0,-0.4145521555095351,-0.3162131664579146
492,AnomaXAN,,0.04043,1.8%,2.0,22.3,-,"$22,665,868","2,500,000,000",10B,100987823.0,0,0.21898985904381146,-0.24447480048954218
491,Ankr NetworkANKR,,0.01009,0.6%,0.9,8.2,27.2%,"$8,286,825","10,000,000,000",10B,100907345.0,0,-0.2019462675776411,-0.29258152905426615
493,Tradable Singapore Fintech SSLPC0000023,,1.0,0.0%,0.0,0.0,0.0%,$0.00,"100,846,154",100.85M,100378706.0,0,-0.47202629547287794,-0.3243141148122868
494,UMAUMA,,1.14,0.8%,0.1,6.9,4.9%,"$18,394,199","88,116,760",126.42M,100613883.0,0,-0.30864611551506255,-0.306713129527724
496,QL1 Bridged USDT (QL1)QUSDT,,1.0,0.0%,0.0,0.0,0.0%,"$4,048.12","100,000,000",100M,100011275.0,0,-0.4720086024277516,-0.3244770923120275
497,ChiaXCH,,6.83,0.4%,2.3,7.4,25.0%,"$5,846,549","14,624,581",33M,99997119.0,0,-0.08368661365567397,-0.27531072904189696
498,ViciCoinVCNT,,17.46,0.2%,0.0,2.3,5.2%,"$165,477","5,696,260",10M,99465445.0,0,-0.420849622099434,-0.3186860650655783
499,MarsMiMARSMI,,0.09891,0.8%,1.4,13.9,24.1%,"$144,480","999,999,992",1000M,98876488.0,0,-0.0263050032001834,-0.27328490647755654
500,HelderHLDR,,0.2444,0.0%,0.9,5.2,2.8%,"$3,060.90","402,002,249",402M,98239615.0,0,-0.2686334294688323,-0.3007617999363843
501,Wrapped CentrifugeWCFG,,0.2039,0.2%,0.1,12.8,21.0%,"$88,837.68","480,143,515",480.14M,97908185.0,0,-0.17710912479863233,-0.2941716551182196
502,XYO NetworkXYO,,0.007004,0.0%,0.8,13.7,27.9%,"$11,592,094","13,931,216,938",13.93B,97559288.0,0,-0.08901146622624553,-0.28259800737461876
503,ChutesSN64,,30.86,3.4%,0.1,2.9,1.7%,"$3,130,036","3,158,357",3.16M,97470062.0,0,-0.3977459038974441,-0.3162549353839745
504,VaultBridge Bridged ETH (Katana)VBETH,,3872.59,0.2%,1.0,2.0,8.0%,"$16,090,342","24,901",24900.6,96399095.0,0,-0.3516469016061712,-0.15203608009103275
505,Flare Bridged XRP (Flare)FXRP,,2.39,0.5%,0.2,2.8,-,"$1,713,429","40,066,021",40.07M,95930523.0,0,-0.39002110204257157,-0.31693929633234613
506,SwopSWOP,,0.009546,0.0%,0.0,0.1,5.6%,$42.18,"9,999,998,197",10B,95450387.0,0,-0.46955632360921684,-0.3263063798148484
507,Pundi XPUNDIX,,0.3683,0.5%,5.0,21.1,18.7%,"$5,901,003","258,386,541",258.39M,94801311.0,0,0.4841407800967132,-0.20871797682489943
508,Non-Playable CoinNPC,,0.01174,2.4%,5.4,17.6,36.5%,"$7,076,257","8,050,126,520",8.05B,94621729.0,0,0.4450787840410134,-0.21148071477537964
511,ICONICX,,0.08767,0.7%,0.9,5.8,25.9%,"$3,538,813","1,078,471,454",1.09B,94536328.0,0,-0.2550913677472732,-0.30100944903061866
512,SyndicateSYND,,0.1975,0.3%,13.2,26.7,83.7%,"$4,835,064","478,700,000",1B,94515638.0,0,1.405862442918212,-0.08291283580658554
510,BCGame CoinBC,,0.009459,0.3%,1.6,43.7,36.5%,"$32,230.11","9,989,730,357",9.99B,94496744.0,0,0.6570339908674389,-0.20288167073762958
509,WeFiWFI,,1.32,1.0%,7.5,28.0,93.2%,"$3,875,820","71,640,584",1B,94355579.0,0,0.8808136876499789,-0.1583541602626043
513,RedStoneRED,,0.3358,0.9%,0.2,11.4,35.2%,"$5,764,132","280,000,000",1B,94038363.0,0,-0.19838417658675933,-0.2977761563376206
514,Bridged Ether (StarkGate)ETH,,3867.97,0.8%,1.0,4.6,7.8%,"$9,757,366","24,297",24297.29,94024649.0,0,-0.29360110758365676,-0.14720277149027094
515,Bridged Wrapped stETH (Gnosis)WSTETH,,4723.34,0.0%,1.4,3.9,7.3%,"$8,984,328","19,863",19863.18,93516804.0,0,-0.27505010143728126,-0.10917802718146907
516,RequestREQ,,0.1246,0.3%,0.1,2.3,0.2%,"$2,265,993","744,291,192",999.42M,92816773.0,0,-0.4107136276543267,-0.3209555565748187
517,Kraken Wrapped BTCKBTC,,109199.0,0.3%,1.7,2.1,3.6%,"$770,173",850,850,92824920.0,1,-0.8674418536591071,4.089577988569981
518,HarmonyONE,,0.006276,0.7%,2.6,12.6,33.2%,"$4,846,460","14,743,251,757",14.75B,92556845.0,0,0.06167918209866122,-0.26261175481455795
519,VergeXVG,,0.005557,0.9%,4.1,11.7,5.1%,"$9,648,455","16,521,951,236",16.56B,91868876.0,0,0.1874583045618868,-0.2443737121580845
520,MemecoinMEME,,0.001595,1.1%,1.3,8.6,32.0%,"$21,126,890","57,435,588,134",69B,91628229.0,0,-0.15371341419973183,-0.2902581529597063
521,GOHOMEGOHOME,,174.59,0.1%,0.8,4.3,15.1%,"$3,039,335","524,619",10M,91523071.0,0,-0.2990440322051928,-0.30021186191478744
522,TempleDAOTEMPLE,,3.84,0.0%,0.1,1.7,1.8%,"$7,182.82","23,722,423",23.77M,91035361.0,0,-0.4240113895509578,-0.32299766582848793
523,SologenicSOLO,,0.2256,0.6%,2.1,8.0,22.9%,"$3,627,562","399,198,717",399.2M,90058944.0,0,-0.08924713908694383,-0.2813357556044916
524,Api3API3,,0.6834,0.6%,1.9,2.2,16.0%,"$13,365,717","131,436,063",153.69M,89797952.0,0,-0.2378501723514746,-0.29773149703649826
525,BandBAND,,0.5378,0.4%,0.1,5.7,19.3%,"$8,231,349","166,900,496",167.2M,89793650.0,0,-0.33484746015209654,-0.314339306860226
526,Novem ProNVM,,0.4105,0.0%,0.0,0.0,0.0%,"$379,975","218,541,041",218.54M,89695226.0,0,-0.47150856872330155,-0.3290765670196392
527,NanoXNO,,0.6729,0.2%,0.3,8.4,15.8%,"$1,538,384","133,248,290",133.25M,89683543.0,0,-0.25527131911382595,-0.30532427763541603
528,VanEck Treasury FundVBILL,,0.999,0.0%,0.0,0.0,0.0%,$0.00,"89,638,400",89.64M,89550078.0,0,-0.4715048548515864,-0.32911729550480195
529,Linea Bridged USDC (Linea)USDC,,0.9997,0.1%,0.4,0.1,0.2%,"$26,997,922","89,149,161",89.15M,89093480.0,0,-0.4303783185248313,-0.3235808775772674
530,BabylonBABY,,0.03118,0.9%,2.5,13.9,42.2%,"$10,381,799","2,837,234,423",10.45B,88494502.0,0,0.08110817777609217,-0.2627528845393698
531,MoonwellWELL,,0.01967,2.1%,2.2,3.9,16.0%,"$4,366,820","4,470,705,982",5B,88241238.0,0,-0.17075201307519108,-0.2903493519017679
532,PaycoinPCI,,0.08607,0.9%,3.3,3.2,13.8%,"$762,824","1,022,576,440",1.9B,88020222.0,0,-0.0794188712384802,-0.27693976915147317
533,L2 Standard Bridged WETH (Optimism)WETH,,3870.46,0.3%,1.2,4.3,7.8%,"$9,449,440","22,675",22674.62,87746857.0,0,-0.2805553966272677,-0.14783521952505804
534,Cronos Bridged USDT (Cronos)USDT,,0.9964,0.6%,0.4,0.5,0.3%,"$143,762","87,824,964",87.82M,87449945.0,0,-0.42139058265895696,-0.3233758301958404
535,Pirate ChainARRR,,0.4446,0.9%,4.9,7.6,130.0%,"$385,691","196,213,798",200M,86842653.0,0,0.17413980841883991,-0.24515015287066755
537,OsmosisOSMO,,0.1153,0.7%,1.7,9.5,20.1%,"$7,592,797","748,770,900",994.42M,86353762.0,0,-0.09453835869492769,-0.28498583343925543
538,pumpBTCPUMPBTC,,107080.0,0.0%,0.8,2.4,2.6%,"$1,228.06",805,805.11,86271665.0,1,-0.9361250225287915,3.9898168804944776
536,44,,0.08597,1.5%,14.7,54.0,-,"$33,709,200","1,000,000,000",1B,86224856.0,4,2.160062872307506,-0.0021914667118728645
539,Yield Guild GamesYGG,,0.1362,0.8%,0.9,18.4,15.0%,"$24,062,577","626,350,518",999.72M,85350645.0,0,0.02597081935803737,-0.275655050956815
540,Wilder WorldWILD,,0.2164,0.2%,2.3,4.4,15.6%,"$1,509,512","394,130,764",499.97M,85236919.0,0,-0.14975336787185412,-0.28912996411834635
541,TROLLTROLL,,0.0851,3.3%,2.1,13.7,30.3%,"$6,687,710","998,943,459",998.94M,85154772.0,0,0.037936999541191535,-0.27020455077222455
542,Mask NetworkMASK,,0.8509,0.6%,1.3,7.6,30.4%,"$17,766,684","100,000,000",100M,85085560.0,0,-0.17567452898349795,-0.2954615438935017
