Rank,Name,Symbol,Price,Change_1h,Change_24h,Change_7d,Change_30d,Volume_24h,Circulating_Supply,Total_Supply,Market_Cap
53,USD1,USD1,$1,0.03%,0.01%,0.03%,0.00%,"$228,700,848","2,973,836,850.6655488","2,973,836,850.6655488","$2,974,482,907"
54,NEAR Protocol,NEAR,$2.26,0.34%,2.47%,4.82%,-26.48%,"$151,585,500","1,277,744,841","1,277,744,906","$2,886,321,426"
55,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,$1,0.00%,0.00%,0.00%,0.00%,$0,"2,852,342,666.67385387","2,852,342,666.67385387","$2,852,342,667"
56,Jito Staked SOL,JITOSOL,$239.78,0.56%,1.63%,6.51%,-8.86%,"$24,978,285","11,538,829.20732595","11,538,829.20732595","$2,766,816,951"
57,PayPal USD,PYUSD,$0.999738,-0.03%,0.00%,0.00%,-0.03%,"$66,215,228","2,758,495,468.12982798","2,758,495,468.12982798","$2,757,758,440"
58,Wrapped SOL,SOL,$193.6,0.51%,1.74%,5.45%,-9.57%,"$992,960,212","12,913,627.73981681","12,913,627.73981681","$2,500,229,191"
59,Ethereum Classic,ETC,$15.93,0.45%,0.94%,3.31%,-15.52%,"$40,017,373","154,041,850.95842841","154,041,850.95842841","$2,453,697,489"
60,Binance-Peg WETH,WETH,"$3,931.63",0.11%,2.27%,2.70%,-5.81%,"$94,294,070","604,999.99995882","604,999.99995882","$2,378,636,991"
61,Aptos,APT,$3.29,0.13%,0.61%,3.99%,-23.34%,"$307,426,960","718,345,476.7494458","1,181,193,301.90960407","$2,362,759,665"
62,Ondo,ONDO,$0.740356,0.31%,2.64%,5.59%,-20.85%,"$88,832,533","3,159,107,529","10,000,000,000","$2,338,820,411"
63,Aster,ASTER,$1.11,1.52%,1.92%,-1.09%,-51.40%,"$632,405,831","2,017,700,000","8,000,000,000","$2,236,154,419"
64,Falcon USD,USDF,$0.998586,-0.00%,0.04%,0.17%,-0.13%,"$16,887,419","2,207,976,083.56605577","2,207,976,083.56605577","$2,204,454,074"
65,Jupiter Perpetuals Liquidity Provider Token,JLP,$5.5,0.28%,1.00%,3.42%,-1.94%,"$63,637,023","400,448,991.47426403","400,448,991.47426403","$2,200,968,425"
66,Tether Gold,XAUT,"$4,101.54",-0.42%,0.01%,-2.73%,10.29%,"$289,964,833","522,089.3","522,089.3","$2,134,290,926"
67,POL (ex-MATIC),POL,$0.194609,0.28%,0.90%,4.78%,-14.04%,"$58,148,628","10,524,720,168.29722977","10,524,720,168.29722977","$2,048,400,684"
68,Worldcoin,WLD,$0.890456,0.91%,4.43%,1.57%,-33.67%,"$129,671,263","2,246,243,051.63637304","10,000,000,000","$2,000,132,550"
69,Gate,GT,$15.63,-0.17%,-1.36%,0.64%,-5.43%,"$4,555,366","117,344,473.53114802","300,000,000","$1,834,058,414"
70,USDtb,USDTB,$0.999827,-0.00%,-0.04%,-0.03%,-0.07%,"$2,198,079","1,830,625,960.05618191","1,830,625,960.05618191","$1,830,313,940"
71,HTX DAO,HTX,$0.00000193,0.41%,-1.74%,-3.27%,-15.60%,"$21,712,564","930,149,437,822,426.125","930,149,437,822,426.125","$1,795,075,469"
72,KuCoin,KCS,$13.62,0.03%,1.77%,-0.26%,-11.40%,"$6,270,866","129,728,856.73556709","142,228,856.73556709","$1,766,894,919"
73,Rocket Pool ETH,RETH,"$4,499.26",0.09%,2.45%,2.75%,-5.64%,"$2,044,126","389,834.2226873","389,834.2226873","$1,754,108,229"
74,Arbitrum,ARB,$0.317893,0.14%,1.34%,4.72%,-26.93%,"$131,677,279","5,509,691,911","10,000,000,000","$1,751,464,450"
75,Story,IP,$5.34,-0.43%,4.02%,-2.16%,-56.14%,"$46,003,260","321,980,424.75999999","1,016,362,649.64999998","$1,718,311,978"
76,Pi Network,PI,$0.20643,0.26%,1.49%,1.88%,-26.79%,"$14,888,823","8,286,587,105.86754227","12,748,552,117.94133949","$1,708,343,755"
77,Binance Staked SOL,BNSOL,$209.21,0.58%,2.17%,5.98%,-8.86%,"$5,333,056","8,105,886.59249176","8,105,886.59249176","$1,694,959,944"
78,Internet Computer,ICP,$3.13,0.82%,3.45%,5.48%,-27.88%,"$45,783,981","539,329,771.9410013","539,329,771.9410013","$1,687,847,717"
79,Provenance Blockchain,HASH,$0.0334785,3.97%,-1.93%,-3.35%,2.12%,"$18,380.64","50,305,936,491","100,000,000,000","$1,684,175,970"
80,Algorand,ALGO,$0.184612,0.60%,0.70%,4.27%,-14.96%,"$60,008,199","8,813,363,324.34526443","8,813,363,324.34526443","$1,626,793,133"
81,Kelp DAO Restaked ETH,RSETH,"$4,157.48",0.12%,2.52%,2.83%,-5.41%,"$1,836,069","372,711.81607263","372,711.81607263","$1,549,058,217"
82,Cosmos Hub,ATOM,$3.19,0.21%,-0.02%,0.30%,-23.76%,"$68,844,976","474,753,373.606897","474,753,373.606897","$1,513,157,438"
83,Pump.fun,PUMP,$0.00421951,1.07%,11.20%,17.85%,-27.48%,"$271,807,230","354,000,000,000","999,989,416,009.50500488","$1,500,784,151"
84,StakeWise Staked ETH,OSETH,"$4,153.34",0.15%,2.46%,2.79%,-5.52%,"$1,301,718","358,880.6839472","358,880.6839472","$1,491,451,232"
85,VeChain,VET,$0.01729849,0.25%,-0.04%,0.75%,-24.41%,"$24,080,844","85,985,041,177","85,985,041,177","$1,486,899,159"
86,Kinetiq Staked HYPE,KHYPE,$39.36,0.30%,0.13%,11.83%,-12.91%,"$23,252,606","37,264,293.35345508","37,264,293.35345508","$1,465,748,875"
87,Wrapped BNB,WBNB,"$1,111.93",0.03%,-0.30%,3.74%,9.41%,"$867,224,694","1,280,461.54244986","1,280,461.54244986","$1,424,201,154"
88,Kaspa,KAS,$0.052235,0.29%,1.60%,1.66%,-34.59%,"$33,279,989","26,777,148,610.50725937","26,844,344,119.36214828","$1,398,697,795"
89,Liquid Staked ETH,LSETH,"$4,179.79",0.09%,2.18%,1.48%,-7.07%,"$213,885","333,269.08933297","333,269.08933297","$1,392,987,117"
90,PAX Gold,PAXG,"$4,093.8",-0.35%,-0.51%,-3.34%,9.45%,"$369,883,819","331,783.885","331,783.885","$1,358,486,196"
91,Sky,SKY,$0.057947,-0.16%,-2.09%,-3.16%,-15.62%,"$9,293,771","23,353,400,882.22101974","23,462,665,147.36595917","$1,352,956,622"
92,BFUSD,BFUSD,$0.999732,-0.01%,0.03%,-0.01%,0.04%,"$11,678,365","1,320,000,000","1,320,000,000","$1,319,654,185"
93,Syrup USDC,SYRUPUSDC,$1.13,-0.01%,0.04%,0.17%,0.57%,"$8,690,550","1,161,533,167.36054993","1,161,533,167.36054993","$1,315,603,120"
94,Pudgy Penguins,PENGU,$0.02088981,0.31%,2.75%,-0.46%,-30.72%,"$180,257,385","62,860,396,090","79,773,864,064.72627258","$1,312,758,605"
95,Flare,FLR,$0.01715164,-0.60%,0.97%,4.18%,-36.84%,"$10,830,094","76,372,550,536.60771179","104,206,495,669.51780701","$1,309,917,884"
96,Lombard Staked BTC,LBTC,"$110,539",-0.34%,0.41%,3.60%,-2.72%,"$3,426,348","11,836.25472011","11,836.25472011","$1,308,365,515"
97,Render,RENDER,$2.46,0.42%,-0.11%,0.97%,-32.81%,"$52,017,375","518,584,616.16407412","533,344,789.44407409","$1,275,274,963"
98,Renzo Restaked ETH,EZETH,"$4,178.34",0.12%,2.47%,2.89%,-5.28%,"$574,476","300,559.54261528","300,559.54261528","$1,255,476,860"
100,Sei,SEI,$0.194417,0.18%,1.35%,1.81%,-34.24%,"$69,721,100","6,248,888,888","10,000,000,000","$1,214,863,675"
99,Jupiter,JUP,$0.383703,0.74%,7.09%,14.10%,-19.14%,"$56,922,430","3,165,216,666.63999987","6,999,010,821.63728142","$1,214,525,448"
101,Official Trump,TRUMP,$5.92,0.33%,1.01%,3.11%,-23.48%,"$213,752,175","199,999,973.08722401","1,000,000,000","$1,183,805,613"
102,Quant,QNT,$81.2,-0.41%,-0.74%,-1.38%,-17.18%,"$21,312,460","14,544,176.16407109","14,612,493","$1,181,112,688"
103,Bonk,BONK,$0.00001473,0.25%,1.45%,6.54%,-28.08%,"$143,495,697","77,419,592,329,436.578125","87,995,313,127,343.109375","$1,140,231,258"
104,Binance Bridged USDC (BNB Smart Chain),USDC,$0.999727,0.02%,-0.05%,-0.01%,0.02%,"$520,680,976","1,138,999,879.83980393","1,138,999,879.83980393","$1,138,861,397"
